"country","iso_country_code","year","civic_activism","se_civicactivism","intergroup_cohesion","se_intergroupcohesion","clubs_and_associations","se_clubsassociations","interpersonal_safety_and_trust","se_safetytrust","gender_equality","se_genderequality","inclusion","se_inclusion"
"Afghanistan","AFG","1990",,,,,,,,,,,,
"Afghanistan","AFG","1995",,,,,,,,,0.2682121,0.0522092,,
"Afghanistan","AFG","2000",,,,,,,,,,,,
"Afghanistan","AFG","2005",0.4788421,0.0092892,0.3414521,0.0073799,,,,,0.6043894,0.0087856,,
"Afghanistan","AFG","2010",0.4783796,0.0119795,0.331686,0.0258133,,,,,0.4272905,0.0301774,,
"Albania","ALB","1990",0.3723597,0.0412651,0.6292339,0.0126248,0.6581619,,,,0.7028518,0.0071283,,
"Albania","ALB","1995",0.3835694,0.0514924,0.6097556,0.0092686,0.5156776,0.0637436,0.5219556,0.0161099,0.6888538,0.0207661,,
"Albania","ALB","2000",0.5370525,0.0371812,0.5250909,0.0072505,0.4320449,0.1062322,0.4629161,0.0456596,0.6391413,0.0297394,0.5118327,0.0093497
"Albania","ALB","2005",0.4893126,0.0138221,0.6213533,0.0042514,0.4171193,0.104376,0.4728707,0.0276837,0.7438284,0.0066161,0.4910081,0.0041339
"Albania","ALB","2010",0.5054785,0.0152223,0.7121593,0.0064102,0.4414004,0.1069243,0.4407619,0.0380072,0.7735471,0.0274329,0.4777566,0.0075937
"Algeria","DZA","1990",0.5073997,0.0063654,0.6383866,0.0080328,0.5237685,,,,0.6402026,0.0090591,,
"Algeria","DZA","1995",0.4984139,0.0155696,0.4885165,0.016795,0.5153307,,,,0.5139683,0.0160083,,
"Algeria","DZA","2000",0.470924,0.0271288,0.4080868,0.0125684,0.5176823,,0.5213195,0.0834792,0.5508683,0.0225566,0.3918767,0.0277908
"Algeria","DZA","2005",0.4725454,0.0149591,0.5475346,0.0071294,0.5416399,,0.4817382,0.0847994,0.6720503,0.0065533,0.4280903,0.0139598
"Algeria","DZA","2010",0.4702127,0.0205479,0.6000249,0.0063951,0.5256384,,0.4075951,0.103704,0.6132583,0.026916,0.3891068,0.0123715
"American Samoa","ASM","1990",,,,,,,,,,,,
"American Samoa","ASM","1995",,,,,,,,,,,,
"American Samoa","ASM","2000",,,,,,,,,,,,
"American Samoa","ASM","2005",,,,,,,,,,,,
"American Samoa","ASM","2010",,,,,,,,,,,,
"Andorra","AND","1990",,,,,,,,,,,,
"Andorra","AND","1995",,,,,,,,,,,,
"Andorra","AND","2000",,,,,,,,,,,,
"Andorra","AND","2005",0.6207097,0.0054594,,,0.5665603,,,,0.7599557,0.0171228,0.6139297,0.0151824
"Andorra","AND","2010",0.6246892,1.594E-4,,,0.5865179,,,,,,0.6272392,0.0138233
"Angola","AGO","1990",0.3117349,0.0595324,0.4692975,0.0152662,,,,,0.7202318,0.0134117,,
"Angola","AGO","1995",0.3271495,0.0680395,0.4764875,0.0105206,,,,,0.6844206,0.0368082,,
"Angola","AGO","2000",0.3315547,0.026987,0.3980573,0.0146299,,,,,0.5997357,0.0320348,,
"Angola","AGO","2005",0.4537711,0.0171814,0.57161,0.0069213,,,,,0.6956481,0.0141616,0.3916905,0.0065501
"Angola","AGO","2010",0.4453379,0.0263713,0.7035817,0.0066148,,,,,0.6398064,0.0518035,0.3443724,0.0129322
"Antigua and Barbuda","ATG","1990",,,,,,,,,,,,
"Antigua and Barbuda","ATG","1995",,,,,,,,,,,,
"Antigua and Barbuda","ATG","2000",,,,,,,,,,,,
"Antigua and Barbuda","ATG","2005",,,,,,,,,,,,
"Antigua and Barbuda","ATG","2010",,,,,,,,,0.7476539,0.0760564,,
"Argentina","ARG","1990",0.6029249,0.0760179,0.6892691,0.0048666,0.2946772,0.0106306,0.5388591,0.0248146,0.7626607,0.0143501,0.8510288,0.0380085
